Presure =1021.898681640625, Temperature =39.21569061279297, Humidity =17.36463165283203
Presure =1021.901611328125, Temperature =39.122901916503906, Humidity =17.81283950805664
Presure =1021.927490234375, Temperature =39.10434341430664, Humidity =18.483627319335938
Presure =1021.93115234375, Temperature =39.21569061279297, Humidity =18.922687530517578
Presure =1021.93603515625, Temperature =38.95588302612305, Humidity =17.346336364746094
Presure =1021.947265625, Temperature =38.95588302612305, Humidity =18.06591033935547
Presure =1021.942626953125, Temperature =39.04867172241211, Humidity =17.492691040039062
Presure =1021.928466796875, Temperature =39.011558532714844, Humidity =17.61770248413086
Presure =1021.947265625, Temperature =39.122901916503906, Humidity =17.626848220825195
Presure =1021.9541015625, Temperature =39.141456604003906, Humidity =17.68478012084961
Presure =1021.9423828125, Temperature =39.030113220214844, Humidity =17.687828063964844
Presure =1021.908203125, Temperature =39.19712829589844, Humidity =17.602455139160156
Presure =1021.919189453125, Temperature =38.99299621582031, Humidity =17.757957458496094
Presure =1021.94091796875, Temperature =39.011558532714844, Humidity =17.43475914001465
Presure =1021.95458984375, Temperature =39.067230224609375, Humidity =17.663436889648438
Presure =1021.918212890625, Temperature =38.86309814453125, Humidity =17.59330940246582
Presure =1021.942626953125, Temperature =38.99299621582031, Humidity =17.977487564086914
Presure =1021.956787109375, Temperature =39.04867172241211, Humidity =17.629898071289062
Presure =1021.923095703125, Temperature =39.011558532714844, Humidity =17.565868377685547
Presure =1021.925537109375, Temperature =39.067230224609375, Humidity =17.504886627197266
Presure =1021.91748046875, Temperature =38.97444152832031, Humidity =17.696975708007812
Presure =1021.93115234375, Temperature =39.122901916503906, Humidity =17.590259552001953
Presure =1021.927490234375, Temperature =39.23424530029297, Humidity =17.9256534576416
Presure =1021.919921875, Temperature =39.085784912109375, Humidity =17.611602783203125
Presure =1021.91650390625, Temperature =39.030113220214844, Humidity =17.581111907958984
Presure =1021.9453125, Temperature =39.122901916503906, Humidity =17.79759407043457
Presure =1021.93212890625, Temperature =39.122901916503906, Humidity =17.678682327270508
Presure =1021.926025390625, Temperature =38.93732452392578, Humidity =17.65428924560547
Presure =1021.915283203125, Temperature =39.067230224609375, Humidity =17.498788833618164
Presure =1021.953125, Temperature =39.030113220214844, Humidity =17.510986328125
Presure =1021.952392578125, Temperature =38.99299621582031, Humidity =17.730514526367188
Presure =1021.954833984375, Temperature =39.04867172241211, Humidity =17.605504989624023
Presure =1021.938232421875, Temperature =39.067230224609375, Humidity =17.599407196044922
Presure =1021.92626953125, Temperature =39.011558532714844, Humidity =17.550621032714844
Presure =1021.9140625, Temperature =39.04867172241211, Humidity =17.70612335205078
Presure =1021.917236328125, Temperature =39.085784912109375, Humidity =18.01102638244629
Presure =1021.936279296875, Temperature =38.95588302612305, Humidity =17.663436889648438
Presure =1021.909423828125, Temperature =39.085784912109375, Humidity =17.75185775756836
Presure =1021.919921875, Temperature =39.030113220214844, Humidity =17.67563247680664
Presure =1021.900146484375, Temperature =38.93732452392578, Humidity =17.422561645507812
Presure =1021.91748046875, Temperature =39.030113220214844, Humidity =17.92870330810547
Presure =1021.91796875, Temperature =39.030113220214844, Humidity =17.754907608032227
Presure =1021.9453125, Temperature =39.04867172241211, Humidity =17.882966995239258
Presure =1021.932373046875, Temperature =39.19712829589844, Humidity =17.79149627685547
Presure =1021.90869140625, Temperature =39.23424530029297, Humidity =17.419513702392578
Presure =1021.92333984375, Temperature =39.067230224609375, Humidity =16.69689178466797
Presure =1021.92919921875, Temperature =39.04867172241211, Humidity =17.495738983154297
Presure =1021.946044921875, Temperature =38.93732452392578, Humidity =17.6451416015625
Presure =1021.94677734375, Temperature =39.011558532714844, Humidity =18.04151725769043
Presure =1021.925048828125, Temperature =38.99299621582031, Humidity =17.730514526367188
Presure =1021.946044921875, Temperature =38.95588302612305, Humidity =17.532329559326172
Presure =1021.901611328125, Temperature =38.99299621582031, Humidity =17.599407196044922
Presure =1021.91650390625, Temperature =38.844539642333984, Humidity =17.82198715209961
Presure =1021.945556640625, Temperature =38.80742645263672, Humidity =17.703075408935547
Presure =1021.93994140625, Temperature =38.900211334228516, Humidity =17.53842544555664
Presure =1021.9296875, Temperature =38.95588302612305, Humidity =17.7823486328125
Presure =1021.93896484375, Temperature =39.067230224609375, Humidity =17.541475296020508
Presure =1021.937255859375, Temperature =39.16001510620117, Humidity =17.550621032714844
Presure =1021.910888671875, Temperature =39.04867172241211, Humidity =17.575016021728516
Presure =1021.967041015625, Temperature =39.141456604003906, Humidity =17.742712020874023
Presure =1021.942138671875, Temperature =39.10434341430664, Humidity =14.644891738891602
Presure =1021.933349609375, Temperature =39.030113220214844, Humidity =17.651241302490234
Presure =1021.946044921875, Temperature =39.067230224609375, Humidity =17.614652633666992
Presure =1021.927734375, Temperature =39.21569061279297, Humidity =17.75185775756836
Presure =1021.9375, Temperature =39.10434341430664, Humidity =17.703075408935547
Presure =1021.93310546875, Temperature =38.97444152832031, Humidity =17.56891632080078
Presure =1021.9580078125, Temperature =39.04867172241211, Humidity =17.678682327270508
Presure =1021.939208984375, Temperature =38.99299621582031, Humidity =17.65428924560547
Presure =1021.95458984375, Temperature =39.011558532714844, Humidity =17.453052520751953
Presure =1021.918701171875, Temperature =38.91876983642578, Humidity =17.748809814453125
Presure =1021.94482421875, Temperature =39.030113220214844, Humidity =17.898212432861328
Presure =1021.977294921875, Temperature =39.067230224609375, Humidity =17.495738983154297
Presure =1021.956787109375, Temperature =39.085784912109375, Humidity =17.56891632080078
Presure =1021.9384765625, Temperature =38.97444152832031, Humidity =17.596359252929688
Presure =1021.95849609375, Temperature =39.04867172241211, Humidity =17.520132064819336
Presure =1021.958740234375, Temperature =38.99299621582031, Humidity =17.687828063964844
Presure =1021.966552734375, Temperature =38.900211334228516, Humidity =17.800643920898438
Presure =1021.931396484375, Temperature =38.91876983642578, Humidity =17.79149627685547
Presure =1021.932861328125, Temperature =39.122901916503906, Humidity =17.74576187133789
Presure =1021.9560546875, Temperature =39.04867172241211, Humidity =18.020174026489258
Presure =1021.948974609375, Temperature =39.085784912109375, Humidity =17.6451416015625
Presure =1021.9306640625, Temperature =39.19712829589844, Humidity =16.456018447875977
Presure =1021.94384765625, Temperature =39.17857360839844, Humidity =16.55968475341797
Presure =1021.927734375, Temperature =39.10434341430664, Humidity =17.834182739257812
Presure =1021.94677734375, Temperature =39.085784912109375, Humidity =17.82808494567871
Presure =1021.944580078125, Temperature =39.25279998779297, Humidity =17.825035095214844
Presure =1021.96533203125, Temperature =39.067230224609375, Humidity =17.712221145629883
Presure =1021.970703125, Temperature =39.19712829589844, Humidity =17.57806396484375
Presure =1021.95703125, Temperature =39.10434341430664, Humidity =17.764055252075195
Presure =1021.91650390625, Temperature =39.16001510620117, Humidity =17.620750427246094
Presure =1021.936767578125, Temperature =39.085784912109375, Humidity =17.931751251220703
Presure =1021.9248046875, Temperature =39.23424530029297, Humidity =17.635995864868164
Presure =1021.93115234375, Temperature =39.16001510620117, Humidity =17.483543395996094
Presure =1021.918212890625, Temperature =39.2713623046875, Humidity =17.483543395996094
Presure =1021.915283203125, Temperature =39.067230224609375, Humidity =17.6451416015625
Presure =1021.9072265625, Temperature =39.085784912109375, Humidity =17.712221145629883
Presure =1021.92724609375, Temperature =39.141456604003906, Humidity =19.136119842529297
Presure =1021.93115234375, Temperature =39.25279998779297, Humidity =17.556720733642578
Presure =1021.963623046875, Temperature =39.19712829589844, Humidity =17.75185775756836
Presure =1021.944580078125, Temperature =39.25279998779297, Humidity =17.660388946533203
Presure =1021.954345703125, Temperature =39.17857360839844, Humidity =16.672500610351562
Presure =1021.9501953125, Temperature =39.16001510620117, Humidity =18.248851776123047
Presure =1021.9716796875, Temperature =39.19712829589844, Humidity =17.41036605834961
Presure =1021.97509765625, Temperature =39.10434341430664, Humidity =17.504886627197266
Presure =1021.9482421875, Temperature =39.067230224609375, Humidity =17.75185775756836
Presure =1021.936279296875, Temperature =39.10434341430664, Humidity =17.63904571533203
Presure =1021.971923828125, Temperature =39.19712829589844, Humidity =17.733564376831055
Presure =1021.969970703125, Temperature =39.10434341430664, Humidity =17.742712020874023
Presure =1021.93408203125, Temperature =39.17857360839844, Humidity =17.855525970458984
Presure =1021.980224609375, Temperature =39.122901916503906, Humidity =17.581111907958984
Presure =1021.976318359375, Temperature =39.141456604003906, Humidity =17.962242126464844
Presure =1021.96630859375, Temperature =39.067230224609375, Humidity =17.74576187133789
Presure =1021.947509765625, Temperature =39.10434341430664, Humidity =17.483543395996094
Presure =1021.947265625, Temperature =39.030113220214844, Humidity =17.61770248413086
Presure =1021.937255859375, Temperature =39.04867172241211, Humidity =17.794544219970703
Presure =1021.9482421875, Temperature =39.030113220214844, Humidity =17.70612335205078
Presure =1021.977783203125, Temperature =38.900211334228516, Humidity =17.93480110168457
Presure =1021.9462890625, Temperature =39.16001510620117, Humidity =17.79149627685547
Presure =1021.97900390625, Temperature =38.95588302612305, Humidity =17.718318939208984
Presure =1021.94140625, Temperature =39.17857360839844, Humidity =17.565868377685547
Presure =1021.990234375, Temperature =39.067230224609375, Humidity =17.632946014404297
Presure =1021.962646484375, Temperature =39.141456604003906, Humidity =17.63904571533203
Presure =1021.960205078125, Temperature =39.141456604003906, Humidity =17.57196617126465
Presure =1021.9521484375, Temperature =38.95588302612305, Humidity =17.413415908813477
Presure =1021.96728515625, Temperature =38.99299621582031, Humidity =17.85857391357422
Presure =1021.949462890625, Temperature =39.030113220214844, Humidity =17.498788833618164
Presure =1021.955810546875, Temperature =38.99299621582031, Humidity =17.309749603271484
Presure =1021.94873046875, Temperature =39.011558532714844, Humidity =17.678682327270508
Presure =1021.95654296875, Temperature =39.21569061279297, Humidity =17.63904571533203
Presure =1021.92333984375, Temperature =39.067230224609375, Humidity =17.346336364746094
Presure =1021.919677734375, Temperature =39.16001510620117, Humidity =17.63904571533203
Presure =1021.927978515625, Temperature =39.122901916503906, Humidity =17.58416175842285
Presure =1021.94970703125, Temperature =39.19712829589844, Humidity =17.831134796142578
Presure =1021.9443359375, Temperature =39.141456604003906, Humidity =17.60855484008789
Presure =1021.929443359375, Temperature =39.19712829589844, Humidity =17.526229858398438
Presure =1021.929443359375, Temperature =39.16001510620117, Humidity =17.733564376831055
Presure =1021.93896484375, Temperature =39.030113220214844, Humidity =17.553672790527344
Presure =1021.960205078125, Temperature =39.17857360839844, Humidity =17.605504989624023
Presure =1021.934814453125, Temperature =39.141456604003906, Humidity =17.526229858398438
Presure =1021.91357421875, Temperature =39.19712829589844, Humidity =17.40121841430664
Presure =1021.924072265625, Temperature =39.141456604003906, Humidity =17.657339096069336
Presure =1021.9326171875, Temperature =39.067230224609375, Humidity =17.632946014404297
Presure =1021.906982421875, Temperature =38.97444152832031, Humidity =17.718318939208984
Presure =1021.906982421875, Temperature =38.93732452392578, Humidity =17.72136878967285
Presure =1021.921142578125, Temperature =39.067230224609375, Humidity =17.712221145629883
Presure =1021.931884765625, Temperature =39.085784912109375, Humidity =16.550539016723633
Presure =1021.91845703125, Temperature =39.085784912109375, Humidity =17.556720733642578
Presure =1021.91943359375, Temperature =39.011558532714844, Humidity =17.54757308959961
Presure =1021.910400390625, Temperature =39.122901916503906, Humidity =17.544525146484375
Presure =1021.899658203125, Temperature =39.067230224609375, Humidity =17.60855484008789
Presure =1021.9384765625, Temperature =39.141456604003906, Humidity =17.809791564941406
Presure =1021.917724609375, Temperature =39.011558532714844, Humidity =17.831134796142578
Presure =1021.951416015625, Temperature =39.085784912109375, Humidity =17.834182739257812
Presure =1021.92529296875, Temperature =39.04867172241211, Humidity =17.605504989624023
Presure =1021.91259765625, Temperature =39.067230224609375, Humidity =17.526229858398438
Presure =1021.947021484375, Temperature =38.99299621582031, Humidity =17.681732177734375
Presure =1021.899658203125, Temperature =38.86309814453125, Humidity =17.77320098876953
Presure =1021.937744140625, Temperature =39.23424530029297, Humidity =18.023223876953125
Presure =1021.92041015625, Temperature =39.067230224609375, Humidity =17.437808990478516
Presure =1021.91015625, Temperature =39.085784912109375, Humidity =17.764055252075195
Presure =1021.936767578125, Temperature =39.085784912109375, Humidity =17.82198715209961
Presure =1021.935302734375, Temperature =39.067230224609375, Humidity =17.486591339111328
Presure =1021.904541015625, Temperature =39.10434341430664, Humidity =17.648191452026367
Presure =1021.93115234375, Temperature =39.17857360839844, Humidity =17.739662170410156
Presure =1021.913330078125, Temperature =39.10434341430664, Humidity =17.785398483276367
Presure =1021.933349609375, Temperature =39.17857360839844, Humidity =17.70002555847168
Presure =1021.910400390625, Temperature =39.2899169921875, Humidity =17.785398483276367
Presure =1021.8671875, Temperature =39.25279998779297, Humidity =17.962242126464844
Presure =1021.90625, Temperature =39.122901916503906, Humidity =18.434843063354492
Presure =1021.889404296875, Temperature =39.122901916503906, Humidity =17.72136878967285
Presure =1021.905029296875, Temperature =39.19712829589844, Humidity =17.730514526367188
Presure =1021.906005859375, Temperature =39.21569061279297, Humidity =17.50183868408203
Presure =1021.9140625, Temperature =39.141456604003906, Humidity =17.834182739257812
Presure =1021.934814453125, Temperature =39.17857360839844, Humidity =17.9134578704834
Presure =1021.890625, Temperature =39.17857360839844, Humidity =17.642093658447266
Presure =1021.89697265625, Temperature =39.16001510620117, Humidity =17.849428176879883
Presure =1021.9140625, Temperature =39.17857360839844, Humidity =17.727466583251953
Presure =1021.9111328125, Temperature =39.141456604003906, Humidity =17.730514526367188
Presure =1021.944091796875, Temperature =39.19712829589844, Humidity =17.87991714477539
Presure =1021.941162109375, Temperature =39.067230224609375, Humidity =17.599407196044922
Presure =1021.926513671875, Temperature =39.141456604003906, Humidity =17.709171295166016
Presure =1021.93408203125, Temperature =38.95588302612305, Humidity =17.956144332885742
Presure =1021.944091796875, Temperature =38.95588302612305, Humidity =17.340238571166992
Presure =1021.921142578125, Temperature =38.99299621582031, Humidity =17.651241302490234
Presure =1021.942626953125, Temperature =38.97444152832031, Humidity =17.69087791442871
Presure =1021.954345703125, Temperature =39.067230224609375, Humidity =17.739662170410156
Presure =1021.9580078125, Temperature =39.030113220214844, Humidity =17.541475296020508
Presure =1021.96923828125, Temperature =39.122901916503906, Humidity =17.614652633666992
Presure =1021.970458984375, Temperature =38.95588302612305, Humidity =17.794544219970703
Presure =1021.95556640625, Temperature =39.011558532714844, Humidity =17.831134796142578
Presure =1021.937255859375, Temperature =38.95588302612305, Humidity =17.443904876708984
Presure =1021.963623046875, Temperature =39.04867172241211, Humidity =17.626848220825195
Presure =1021.950927734375, Temperature =39.067230224609375, Humidity =17.7823486328125
Presure =1021.965576171875, Temperature =39.067230224609375, Humidity =17.693927764892578
Presure =1021.943603515625, Temperature =39.10434341430664, Humidity =17.703075408935547
Presure =1021.9609375, Temperature =39.19712829589844, Humidity =17.92870330810547
Presure =1021.945068359375, Temperature =39.17857360839844, Humidity =17.57196617126465
Presure =1021.955322265625, Temperature =39.16001510620117, Humidity =17.65428924560547
Presure =1021.92529296875, Temperature =38.91876983642578, Humidity =17.825035095214844
Presure =1021.960693359375, Temperature =39.011558532714844, Humidity =17.72441864013672
Presure =1021.95458984375, Temperature =39.011558532714844, Humidity =17.657339096069336
Presure =1021.96923828125, Temperature =38.80742645263672, Humidity =17.72441864013672
Presure =1021.961181640625, Temperature =38.99299621582031, Humidity =17.712221145629883
Presure =1021.93505859375, Temperature =38.93732452392578, Humidity =17.861623764038086
Presure =1021.9638671875, Temperature =38.97444152832031, Humidity =17.696975708007812
Presure =1021.94189453125, Temperature =38.900211334228516, Humidity =17.85857391357422
Presure =1021.977783203125, Temperature =39.04867172241211, Humidity =18.075056076049805
Presure =1021.948486328125, Temperature =39.04867172241211, Humidity =17.70002555847168
Presure =1021.9453125, Temperature =38.99299621582031, Humidity =17.785398483276367
Presure =1021.973876953125, Temperature =38.97444152832031, Humidity =17.605504989624023
Presure =1021.9384765625, Temperature =38.97444152832031, Humidity =17.651241302490234
Presure =1021.966796875, Temperature =39.16001510620117, Humidity =17.79759407043457
Presure =1021.949951171875, Temperature =39.23424530029297, Humidity =17.80674171447754
Presure =1021.942626953125, Temperature =39.19712829589844, Humidity =17.709171295166016
Presure =1021.945556640625, Temperature =39.030113220214844, Humidity =17.79149627685547
Presure =1021.960693359375, Temperature =38.95588302612305, Humidity =17.632946014404297
Presure =1021.95703125, Temperature =38.97444152832031, Humidity =17.748809814453125
Presure =1021.915283203125, Temperature =38.93732452392578, Humidity =17.70002555847168
Presure =1021.93798828125, Temperature =38.95588302612305, Humidity =17.846378326416016
Presure =1021.919677734375, Temperature =38.95588302612305, Humidity =17.71527099609375
Presure =1021.935302734375, Temperature =39.030113220214844, Humidity =17.895164489746094
Presure =1021.95556640625, Temperature =39.067230224609375, Humidity =16.846294403076172
Presure =1021.97607421875, Temperature =39.011558532714844, Humidity =16.535293579101562
Presure =1021.9462890625, Temperature =39.10434341430664, Humidity =17.922603607177734
Presure =1021.953857421875, Temperature =39.16001510620117, Humidity =17.818937301635742
Presure =1021.9638671875, Temperature =39.10434341430664, Humidity =17.922603607177734
Presure =1021.94580078125, Temperature =39.122901916503906, Humidity =17.861623764038086
Presure =1021.95849609375, Temperature =38.93732452392578, Humidity =17.831134796142578
Presure =1021.95458984375, Temperature =39.011558532714844, Humidity =17.687828063964844
Presure =1021.9521484375, Temperature =39.04867172241211, Humidity =17.703075408935547
Presure =1021.95751953125, Temperature =39.011558532714844, Humidity =17.74576187133789
Presure =1021.96826171875, Temperature =38.93732452392578, Humidity =17.837230682373047
Presure =1021.950439453125, Temperature =38.99299621582031, Humidity =17.629898071289062
Presure =1021.95166015625, Temperature =39.085784912109375, Humidity =17.727466583251953
Presure =1021.969482421875, Temperature =39.030113220214844, Humidity =17.532329559326172
Presure =1021.939453125, Temperature =39.10434341430664, Humidity =17.70002555847168
Presure =1021.942626953125, Temperature =39.10434341430664, Humidity =17.77320098876953
Presure =1021.95751953125, Temperature =38.88165283203125, Humidity =17.099365234375
Presure =1021.936279296875, Temperature =38.88165283203125, Humidity =17.85857391357422
Presure =1021.935546875, Temperature =38.97444152832031, Humidity =17.855525970458984
Presure =1021.92919921875, Temperature =39.10434341430664, Humidity =16.733482360839844
Presure =1021.9248046875, Temperature =39.04867172241211, Humidity =17.742712020874023
Presure =1021.958740234375, Temperature =39.04867172241211, Humidity =16.770069122314453
Presure =1021.916259765625, Temperature =39.141456604003906, Humidity =17.730514526367188
Presure =1021.931884765625, Temperature =39.122901916503906, Humidity =17.696975708007812
Presure =1021.942138671875, Temperature =39.122901916503906, Humidity =19.578231811523438
Presure =1021.912109375, Temperature =39.19712829589844, Humidity =19.154415130615234
Presure =1021.943603515625, Temperature =39.011558532714844, Humidity =17.815887451171875
Presure =1021.93359375, Temperature =38.99299621582031, Humidity =17.526229858398438
Presure =1021.937744140625, Temperature =39.04867172241211, Humidity =17.626848220825195
Presure =1021.953857421875, Temperature =38.99299621582031, Humidity =17.693927764892578
Presure =1021.91162109375, Temperature =39.085784912109375, Humidity =17.840280532836914
Presure =1021.951416015625, Temperature =38.91876983642578, Humidity =17.727466583251953
Presure =1021.944580078125, Temperature =39.04867172241211, Humidity =17.663436889648438
Presure =1021.939697265625, Temperature =38.88165283203125, Humidity =17.605504989624023
Presure =1021.927490234375, Temperature =38.97444152832031, Humidity =17.870771408081055
Presure =1021.941650390625, Temperature =38.97444152832031, Humidity =17.71527099609375
Presure =1021.94287109375, Temperature =39.141456604003906, Humidity =17.63904571533203
Presure =1021.93505859375, Temperature =39.141456604003906, Humidity =17.971389770507812
Presure =1021.9580078125, Temperature =39.122901916503906, Humidity =17.82808494567871
Presure =1021.931640625, Temperature =39.085784912109375, Humidity =17.495738983154297
Presure =1021.92822265625, Temperature =39.10434341430664, Humidity =17.67563247680664
Presure =1021.94580078125, Temperature =39.17857360839844, Humidity =18.25189971923828
Presure =1021.970458984375, Temperature =39.122901916503906, Humidity =17.602455139160156
Presure =1021.966796875, Temperature =39.04867172241211, Humidity =19.291622161865234
Presure =1021.96484375, Temperature =39.04867172241211, Humidity =17.623798370361328
Presure =1021.955322265625, Temperature =39.067230224609375, Humidity =17.77320098876953
Presure =1021.977783203125, Temperature =39.17857360839844, Humidity =17.907360076904297
Presure =1021.980712890625, Temperature =39.04867172241211, Humidity =17.849428176879883
Presure =1021.960693359375, Temperature =39.04867172241211, Humidity =17.550621032714844
Presure =1021.97998046875, Temperature =38.97444152832031, Humidity =17.672584533691406
Presure =1021.9775390625, Temperature =39.067230224609375, Humidity =17.72136878967285
Presure =1021.951171875, Temperature =39.04867172241211, Humidity =17.837230682373047
Presure =1022.0244140625, Temperature =39.085784912109375, Humidity =16.81885528564453
Presure =1021.9970703125, Temperature =39.030113220214844, Humidity =17.727466583251953
Presure =1022.0, Temperature =39.030113220214844, Humidity =17.635995864868164
Presure =1021.986328125, Temperature =38.82598114013672, Humidity =17.72441864013672
Presure =1021.98828125, Temperature =38.88165283203125, Humidity =17.876869201660156
Presure =1022.002685546875, Temperature =39.04867172241211, Humidity =17.840280532836914
Presure =1021.978271484375, Temperature =38.97444152832031, Humidity =17.596359252929688
Presure =1021.97705078125, Temperature =39.085784912109375, Humidity =17.761005401611328
Presure =1021.9970703125, Temperature =38.93732452392578, Humidity =16.709087371826172
Presure =1021.981689453125, Temperature =38.93732452392578, Humidity =17.84333038330078
Presure =1021.98828125, Temperature =39.085784912109375, Humidity =17.861623764038086
Presure =1021.971435546875, Temperature =39.030113220214844, Humidity =17.620750427246094
Presure =1021.976318359375, Temperature =38.93732452392578, Humidity =17.870771408081055
Presure =1021.975830078125, Temperature =39.030113220214844, Humidity =17.709171295166016
Presure =1021.987060546875, Temperature =39.085784912109375, Humidity =17.559768676757812
Presure =1021.990966796875, Temperature =39.030113220214844, Humidity =17.727466583251953
Presure =1021.984375, Temperature =39.04867172241211, Humidity =17.736614227294922
Presure =1021.97216796875, Temperature =38.99299621582031, Humidity =17.70002555847168
Presure =1022.0048828125, Temperature =38.93732452392578, Humidity =17.660388946533203
Presure =1021.971923828125, Temperature =38.91876983642578, Humidity =17.79149627685547
Presure =1022.010009765625, Temperature =39.04867172241211, Humidity =17.75185775756836
Presure =1021.996337890625, Temperature =39.030113220214844, Humidity =17.70612335205078
Presure =1021.993408203125, Temperature =39.04867172241211, Humidity =17.88906478881836
Presure =1022.00927734375, Temperature =38.97444152832031, Humidity =17.581111907958984
Presure =1022.000732421875, Temperature =38.93732452392578, Humidity =17.873821258544922
Presure =1022.009033203125, Temperature =39.011558532714844, Humidity =18.01102638244629
Presure =1022.025146484375, Temperature =39.011558532714844, Humidity =17.794544219970703
Presure =1022.013671875, Temperature =38.99299621582031, Humidity =17.785398483276367
Presure =1022.01708984375, Temperature =38.91876983642578, Humidity =17.761005401611328
Presure =1021.9716796875, Temperature =38.95588302612305, Humidity =17.764055252075195
Presure =1021.99755859375, Temperature =38.900211334228516, Humidity =17.93480110168457
